City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Situation
78,Sao Filipe,14.8961,-24.4956,80.31,69,95,2.53,CV,overcast clouds
79,Asfi,32.2994,-9.2372,72.91,43,64,5.08,MA,broken clouds
80,Jumla,29.2747,82.1838,41.83,43,0,5.03,NP,clear sky
81,Fort Abbas,29.1925,72.8536,71.73,34,8,2.46,PK,clear sky
82,Ribeira Grande,38.5167,-28.7,63.77,90,100,11.01,PT,light rain
83,Torbay,47.6666,-52.7314,48.58,80,20,28.77,CA,few clouds
84,The Valley,18.217,-63.0578,82.54,78,20,10.36,AI,few clouds
85,Husavik,66.0449,-17.3389,30.29,79,70,12.17,IS,broken clouds
86,Barinas,8.6226,-70.2075,75.6,88,100,3.94,VE,overcast clouds
87,Port Elizabeth,-33.918,25.5701,64.09,87,0,24.16,ZA,clear sky
88,Alta Floresta,-9.8756,-56.0861,76.82,88,40,10.36,BR,heavy intensity rain
89,Narsaq,60.9167,-46.05,26.82,74,32,7.92,GL,scattered clouds
90,Sorland,67.667,12.6934,42.66,64,100,26.71,NO,overcast clouds
91,Laguna,38.421,-121.4238,78.12,25,0,8.05,US,haze
92,Bumba,2.1833,22.4667,70.61,98,100,1.5,CD,light rain
93,Irbil,36.1926,44.0106,57.02,33,28,6.91,IQ,scattered clouds
94,Kasimov,54.9411,41.3953,46.31,97,100,9.89,RU,overcast clouds
95,Narbonne,43.0833,2.8333,64.58,79,100,7.81,FR,overcast clouds
96,Porto Murtinho,-21.6989,-57.8825,85.3,57,26,9.24,BR,scattered clouds
97,Kruisfontein,-34.0033,24.7314,61.88,90,32,18.95,ZA,scattered clouds
98,Herat,34.5,62.0,50.63,66,100,14.9,AF,overcast clouds
99,Hamilton,39.1834,-84.5333,62.76,58,0,0.0,US,clear sky
100,Marzuq,14.4,46.4667,64.26,45,18,1.28,YE,few clouds
101,Zarand,30.8127,56.564,60.21,25,2,2.89,IR,clear sky
102,Jacobina,-11.1806,-40.5183,74.44,79,87,7.74,BR,overcast clouds
103,Champua,22.0833,85.6667,61.02,68,0,3.24,IN,clear sky
104,Vila Franca Do Campo,37.7167,-25.4333,64.81,68,100,7.58,PT,overcast clouds
105,Paamiut,61.994,-49.6678,33.13,97,100,11.7,GL,snow
106,San Luis,-33.295,-66.3356,75.63,35,62,17.07,AR,broken clouds
107,Saint-Augustin,51.226,-58.6502,43.74,69,96,15.88,CA,overcast clouds
108,Castro,-24.7911,-50.0119,59.31,97,89,3.56,BR,overcast clouds
109,Bodden Town,19.2833,-81.25,82.4,82,20,11.5,KY,few clouds
110,Jabinyanah,35.035,10.9081,67.8,71,0,7.52,TN,clear sky
111,Keti Bandar,24.1447,67.4497,78.62,66,0,11.97,PK,clear sky
112,Thinadhoo,0.5333,72.9333,80.51,78,100,13.47,MV,light rain
113,Mossendjo,-2.9506,12.7261,69.1,100,92,1.72,CG,overcast clouds
